./Problems/eil101.tsp,Mean,Standard Deviation
Interation: 1,3124.644188799728,0.0
Interation: 2,3086.8056608381635,4.547473508864641E-13
Interation: 3,3033.041889891295,4.547473508864641E-13
Interation: 4,2981.2863681078857,4.547473508864641E-13
Interation: 5,3085.1673463644997,4.547473508864641E-13
Interation: 6,3163.2272085751965,4.547473508864641E-13
Interation: 7,3074.7437063883513,4.547473508864641E-13
Interation: 8,3071.1433202932017,4.547473508864641E-13
Interation: 9,3043.0470985685665,4.547473508864641E-13
Interation: 10,3143.679434424922,4.547473508864641E-13
Interation: 11,3100.965057644229,0.0
Interation: 12,2903.6016689571757,4.547473508864641E-13
Interation: 13,3096.127535435666,0.0
Interation: 14,3102.939207397609,0.0
Interation: 15,3026.0138668420054,4.547473508864641E-13
Interation: 16,3132.5577374405925,4.547473508864641E-13
Interation: 17,3130.649175449303,4.547473508864641E-13
Interation: 18,3036.7495032139705,0.0
Interation: 19,3084.5329287407653,4.547473508864641E-13
Interation: 20,3058.882547948841,4.547473508864641E-13
Interation: 21,3099.1513370324965,4.547473508864641E-13
Interation: 22,3099.3269641630186,4.547473508864641E-13
Interation: 23,3190.3118598669253,4.547473508864641E-13
Interation: 24,2990.4415418972085,4.547473508864641E-13
Interation: 25,3044.07921715104,0.0
Interation: 26,3053.632352854412,4.547473508864641E-13
Interation: 27,2982.702969608589,4.547473508864641E-13
Interation: 28,3224.433307348048,4.547473508864641E-13
Interation: 29,3041.741723440893,0.0
Interation: 30,3123.0075538787523,4.547473508864641E-13
