./Problems/eil51.tsp,Mean,Standard Deviation
Interation: 1,1347.8573094516325,0.0
Interation: 2,1458.9606528303361,2.2737367544323206E-13
Interation: 3,1381.854711178657,2.2737367544323206E-13
Interation: 4,1514.8511845033138,2.2737367544323206E-13
Interation: 5,1472.5267668692536,2.2737367544323206E-13
Interation: 6,1336.9517460393108,0.0
Interation: 7,1398.2341202683074,0.0
Interation: 8,1440.1630267237942,0.0
Interation: 9,1460.5037104958813,0.0
Interation: 10,1390.8882806248835,2.2737367544323206E-13
Interation: 11,1340.5918084894695,0.0
Interation: 12,1499.5188580791198,0.0
Interation: 13,1449.022474787127,0.0
Interation: 14,1375.177220475069,0.0
Interation: 15,1350.4871052483288,2.2737367544323206E-13
Interation: 16,1423.1377818998283,2.2737367544323206E-13
Interation: 17,1393.9895905942155,0.0
Interation: 18,1480.0963354010908,2.2737367544323206E-13
Interation: 19,1492.0228545214907,2.2737367544323206E-13
Interation: 20,1460.0321662438405,2.2737367544323206E-13
Interation: 21,1449.9679666420177,0.0
Interation: 22,1450.6613129123614,0.0
Interation: 23,1451.361628226778,2.2737367544323206E-13
Interation: 24,1431.5711364157848,0.0
Interation: 25,1426.3423507174562,2.2737367544323206E-13
Interation: 26,1408.2553169665464,2.2737367544323206E-13
Interation: 27,1496.7733880294093,0.0
Interation: 28,1281.851652343489,2.2737367544323206E-13
Interation: 29,1372.2345800557102,0.0
Interation: 30,1519.3167379774825,2.2737367544323206E-13
